model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.0030576475042879596	0.0006903251842075869	0.002119379860375918	0.0006347862886161659	0.007711177632887323	0.001119198673313432	0.012484130342784595
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0026884064945744746	0.0005160457110754457	0.0015928075017900226	0.0006771053745239104	0.007746443537810444	0.0011930381456468969	0.013330512060939484
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.0026775703016604963	0.0005106346329082945	0.0015731781662690185	0.0006665256030469743	0.00773860667004975	0.0011840340848154618	0.013118916631400761
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0026128332259389535	0.0006341600231151674	0.0023463031855279993	0.0005184088023698688	0.005538906898685947	0.0009009035976079618	0.010156580617858655
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.019161535375541494	0.004304604049032145	0.01716832910249148	0.0031421921286500214	0.03745435132178678	0.005618881228357002	0.06178586542530681
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.004145104054742713	0.0009145293220255978	0.004055624507002432	0.0007194244604316548	0.008761441992782617	0.0012839473473911624	0.014388489208633094
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0026884064945744746	0.0005160457110754457	0.0015928075017900226	0.0006771053745239104	0.007746443537810444	0.0011930381456468969	0.013330512060939484
EASER_neighborhood=3809_l2_norm=3$72	0.019542729957742044	0.005106763651871474	0.018254984545302316	0.004062632247143462	0.041951747998087395	0.007120247789587015	0.07765552264071096
