model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.004533707599156989	0.0006104105407377726	0.002495051566547028	0.0005120609394837072	0.014142630186853635	0.0009591657464990595	0.02496826068556919
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.005046128342562206	0.0006383188479282015	0.0021600069697495384	0.0005924672027084215	0.018104915100259997	0.0011224376067386003	0.028988573846804908
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.005039797377123335	0.0006344419163686263	0.002148331364117677	0.0005924672027084215	0.018104915100259997	0.0011224376067386003	0.028988573846804908
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.003833740164164346	0.0005129602866001504	0.002626126253476463	0.0004020313161235717	0.011071274798806704	0.0007574943527019754	0.019678374947101143
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.028406509363995736	0.003435251675555168	0.019201459954905787	0.0027676682183664834	0.07832744293045092	0.005254126842802506	0.12970799830723656
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.006788586768147914	0.0007836065456912792	0.004645439885381385	0.0006855691917054593	0.020861797359113435	0.0013024090420883578	0.03406686415573423
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.005046128342562206	0.0006383188479282015	0.0021600069697495384	0.0005924672027084215	0.018104915100259997	0.0011224376067386003	0.028988573846804908
EASER_neighborhood=3809_l2_norm=3$72	0.028249300172729495	0.004121208903034716	0.02018122612149288	0.0030681337283114687	0.07953046359997269	0.005797972774531612	0.14007617435463393
