model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.002013383977192808	0.0006019725560317126	0.001848189104325039	0.0007132368365848541	0.0044688721529501894	0.0011454414791857795	0.0071323683658485425
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0008464833187934901	0.00037519021313860834	0.0010823418941732345	0.00031466331025802394	0.0013550500963968553	0.000454230694670483	0.0031466331025802393
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.0008464833187934901	0.00037519021313860834	0.0010823418941732345	0.00031466331025802394	0.0013550500963968553	0.000454230694670483	0.0031466331025802393
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0019050892823465914	0.0006684264503647764	0.0018363684191248695	0.0005663939584644431	0.0033514139870338736	0.0009116383547213148	0.005663939584644431
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.012899417563817515	0.004304086294331731	0.013678697127407007	0.0029158800083910214	0.01834620289623436	0.004798239143983006	0.02852947346339417
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.0034123541490963544	0.0011978932542179867	0.0033143702904558786	0.0011957205789804909	0.0069765223006255095	0.0019211750373418358	0.01195720578980491
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0008464833187934901	0.00037519021313860834	0.0010823418941732345	0.00031466331025802394	0.0013550500963968553	0.000454230694670483	0.0031466331025802393
EASER_neighborhood=3795_l2_norm=3$72	0.013880982014373917	0.00505745518961378	0.014498320130793383	0.004489196559681142	0.02429242086259078	0.007151163698462605	0.04384308789595133
