model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=15_bs=512_lr=0$07_mffactors=256_isedgeweighttrain=True	0.004134084232779344	0.001633068783068783	0.00492089093701997	0.0013333333333333335	0.006855094726062468	0.0021511053427561966	0.013333333333333334
NeuMF_seed=42_e=10_bs=256_lr=0$08_mffactors=256_drop=0$3_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0010908603894529793	0.0003563662741082096	0.0010029015190305514	0.0003440860215053764	0.0021827956989247314	0.0005665875343294699	0.0034408602150537634
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$09_dropout_pkeep=0$5	0.003178695475327215	0.0015261563406724695	0.004570404505888377	0.0009247311827956989	0.004333333333333333	0.0014809658680626423	0.009247311827956989
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$08_dropout_pkeep=0$0	0.005648084496426665	0.0019972606246799795	0.005313534732889572	0.002150537634408602	0.011396825396825397	0.003486403277950074	0.021505376344086023
ConvNeuMF_seed=42_e=10_bs=16_lr=0$06_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$07_l_b=0$06	0.0023127742712723935	0.0008137907492746203	0.002455965181771633	0.0007311827956989248	0.0037374036995838993	0.0011645634124411715	0.007311827956989247
ConvMF_seed=42_e=10_bs=32_lr=0$07_embedding_size=100_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$05_l_b=0$03	0.0010908603894529793	0.0003563662741082096	0.0010029015190305514	0.0003440860215053764	0.0021827956989247314	0.0005665875343294699	0.0034408602150537634
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0014575923351530752	0.0005098480969448712	0.0015011094043352105	0.00043010752688172043	0.002491039426523297	0.0007135427296717619	0.004301075268817204
EASER_neighborhood=3666_l2_norm=3$72	0.06412890643710097	0.02768048301757979	0.08462442396313365	0.01535483870967742	0.07751099726204916	0.024399000033911173	0.14344086021505376
