model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.0021708850836780168	0.0005549124160995346	0.0017187693150648318	0.0007366870132603662	0.00508379573839477	0.001212536467421561	0.007366870132603663
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0017200430243604313	0.0004112417435928276	0.0013789076986298625	0.0006945906125026311	0.003976355854907738	0.0011299120907624382	0.0069459061250263104
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.0017200430243604313	0.0004112417435928276	0.0013789076986298625	0.0006945906125026311	0.003976355854907738	0.0011299120907624382	0.0069459061250263104
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0020749889693629855	0.0006493536866090013	0.002000998954271949	0.00046306040833508737	0.003234406791552656	0.0007693422132487593	0.004630604083350874
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.013883056981052251	0.004778626387761307	0.013413216265247416	0.004251736476531257	0.026856059795841738	0.006962183651440459	0.042096400757735214
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.003269791489203071	0.0014957419156535132	0.004431397901193734	0.0010313618185645128	0.004743265925122376	0.0015873486952802064	0.010313618185645128
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0017200430243604313	0.0004112417435928276	0.0013789076986298625	0.0006945906125026311	0.003976355854907738	0.0011299120907624382	0.0069459061250263104
EASER_neighborhood=3740_l2_norm=3$72	0.016334110928399998	0.005813663288931653	0.01634852144744799	0.005114712692064829	0.028813139665591785	0.008209023745746339	0.049042306882761524
