model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.0017895502237070579	0.0005294372896626653	0.0015121929406153114	0.0007721202003338898	0.004189675099524848	0.0012316308090061447	0.007512520868113523
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0008026377007109059	0.00019105917269523278	0.0006112204202771815	0.00029215358931552587	0.0019844582240241674	0.00048651919294166176	0.002921535893155259
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.0008026377007109059	0.00019105917269523278	0.0006112204202771815	0.00029215358931552587	0.0019844582240241674	0.00048651919294166176	0.002921535893155259
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0019842342642146195	0.0007336632482709278	0.002282408511540398	0.0005425709515859766	0.003433044537831251	0.0008597504577323884	0.005425709515859766
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.012740641669955595	0.004487083300209344	0.013244296048970506	0.00342237061769616	0.021315605883635933	0.005617582309688983	0.034223706176961605
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.003980615006371248	0.0012640362906431355	0.003988293982033548	0.0009808013355592654	0.006656418613847662	0.0016290543635265377	0.009808013355592655
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0008026377007109059	0.00019105917269523278	0.0006112204202771815	0.00029215358931552587	0.0019844582240241674	0.00048651919294166176	0.002921535893155259
EASER_neighborhood=3789_l2_norm=3$72	0.015888700599691087	0.005760866324827092	0.016724550838699417	0.004841402337228714	0.027018873296523544	0.007768904447983227	0.04632721202003339
