model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.002309531265741181	0.0005448953252543537	0.0015824407904661334	0.0008025343189017951	0.00567606979433801	0.0013597081635469113	0.008025343189017951
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0011882344717885106	0.00027242252057457973	0.0008830726940547425	0.00044350580781414995	0.002849348820837733	0.0007322801567785727	0.0044350580781415
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.0011882344717885106	0.00027242252057457973	0.0008830726940547425	0.00044350580781414995	0.002849348820837733	0.0007322801567785727	0.0044350580781415
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.001721103155433526	0.000640284272808032	0.0019353514020884663	0.00048574445617740236	0.0028053502287926787	0.0007921610244735906	0.004857444561774023
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.010092008746788934	0.003993823435745294	0.011519753272657179	0.0034635691657866944	0.016596103649957925	0.005375903585736679	0.0337909186906019
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.0038900568496945767	0.0012252560299022813	0.003964398853522402	0.0008658922914466736	0.005536740919528669	0.0014180961158380481	0.008658922914466738
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0011882344717885106	0.00027242252057457973	0.0008830726940547425	0.00044350580781414995	0.002849348820837733	0.0007322801567785727	0.0044350580781415
EASER_neighborhood=3759_l2_norm=3$72	0.015785036781962927	0.005811811736310152	0.017272003486364627	0.004667370644139388	0.02618765343311448	0.007495404980335174	0.04561774023231257
