model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=15_bs=512_lr=0$07_mffactors=256_isedgeweighttrain=True	0.00842986947713715	0.0011458014996914407	0.005743552100474202	0.0009920468815403935	0.02352957609341033	0.0018774396440990532	0.04918375889493512
NeuMF_seed=42_e=10_bs=256_lr=0$08_mffactors=256_drop=0$3_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.003752193926788634	0.00048226687021732	0.001677369159988059	0.000548346588530766	0.01308663430890304	0.0010307991160842377	0.027208036835496024
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$09_dropout_pkeep=0$5	0.006472409392509281	0.0009109985438449205	0.004409850125018503	0.0008120552532440352	0.019100922216242433	0.0015312114204912442	0.03892842193386354
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$08_dropout_pkeep=0$0	0.0121681331009775	0.0018606509436370885	0.009900427519937355	0.001343658434491419	0.03257580891737442	0.0025460246229419494	0.06529928840519046
ConvNeuMF_seed=42_e=10_bs=16_lr=0$06_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$07_l_b=0$06	0.004687560414541221	0.0006797196533229807	0.0033005182038959835	0.0005818334030975303	0.013326726642967749	0.0010932278727036793	0.029091670154876518
ConvMF_seed=42_e=10_bs=32_lr=0$07_embedding_size=100_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$05_l_b=0$03	0.003752193926788634	0.00048226687021732	0.001677369159988059	0.000548346588530766	0.01308663430890304	0.0010307991160842377	0.027208036835496024
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.003962733836287978	0.000533221182068419	0.002436227585671907	0.0005190456257848473	0.012296255091357644	0.0009791102693600775	0.02595228128924236
EASER_neighborhood=3757_l2_norm=3$72	0.07602117197505884	0.011843466510375553	0.08512689507147624	0.0054625366262034325	0.13295467312679354	0.01033713787533608	0.23273336123901214
