model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=15_bs=512_lr=0$07_mffactors=256_isedgeweighttrain=True	0.003986408156997933	0.0014461121409635432	0.004245732756615972	0.0012138970280452075	0.006538989125845551	0.0019589896802858172	0.012138970280452072
NeuMF_seed=42_e=10_bs=256_lr=0$08_mffactors=256_drop=0$3_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0009596286944557436	0.0002628947490814381	0.0007459785923578304	0.0004395144411887819	0.0022530513530932116	0.000692343035619819	0.004395144411887819
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$09_dropout_pkeep=0$5	0.002639343363377509	0.0010863531264326575	0.0032054987475665583	0.0009208874005860193	0.004114343518906097	0.0014559663628311602	0.009208874005860193
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$08_dropout_pkeep=0$0	0.006828728737593372	0.0026295620801690288	0.008188987887606556	0.002427794056090415	0.011777623450917716	0.0038735139450646093	0.024277940560904144
ConvNeuMF_seed=42_e=10_bs=16_lr=0$06_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$07_l_b=0$06	0.0020723733796445083	0.0007748892078109324	0.0023492262818340676	0.0007115948095437422	0.0034291594410891186	0.0011351307952765614	0.007115948095437421
ConvMF_seed=42_e=10_bs=32_lr=0$07_embedding_size=100_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$05_l_b=0$03	0.0009596286944557436	0.0002628947490814381	0.0007459785923578304	0.0004395144411887819	0.0022530513530932116	0.000692343035619819	0.004395144411887819
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0016216464053066236	0.0005388785903645678	0.0016779119908044145	0.0006278777731268313	0.003106743960657732	0.0009879596162474104	0.006278777731268313
EASER_neighborhood=3757_l2_norm=3$72	0.06032072536674643	0.026598455553562293	0.08077498056568796	0.01473419840937631	0.07378846096928976	0.02355538878850042	0.13771452490581834
