model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=15_bs=512_lr=0$07_mffactors=256_isedgeweighttrain=True	0.005466794950011218	0.001294599307204164	0.004938549231162952	0.0011301799916282964	0.011401387552496802	0.0019919962124972878	0.022603599832565928
NeuMF_seed=42_e=10_bs=256_lr=0$08_mffactors=256_drop=0$3_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.001977597673677946	0.00039803935939612293	0.0012036565393216817	0.0005546253662620344	0.005661613745540074	0.0009758661272448009	0.011092507325240687
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$09_dropout_pkeep=0$5	0.003811434497249213	0.000965033246650116	0.003722696700525293	0.0008685642528254501	0.00809787916841077	0.0015179119931881685	0.017371285056509
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$08_dropout_pkeep=0$0	0.00895927410236457	0.002328477527670374	0.009120571662754163	0.001977814985349519	0.018876279991809502	0.003484277052854982	0.03913771452490582
ConvNeuMF_seed=42_e=10_bs=16_lr=0$06_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$07_l_b=0$06	0.003083795065840658	0.0007721933581487075	0.0028625001016522014	0.0007115948095437421	0.006587824063755415	0.0012497143024184625	0.014231896190874843
ConvMF_seed=42_e=10_bs=32_lr=0$07_embedding_size=100_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$05_l_b=0$03	0.001977597673677946	0.00039803935939612293	0.0012036565393216817	0.0005546253662620344	0.005661613745540074	0.0009758661272448009	0.011092507325240687
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.002262050460733912	0.000563737999244455	0.00197904663069758	0.0005232314776056927	0.005260132175159383	0.0009153238316717135	0.010464629552113856
EASER_neighborhood=3757_l2_norm=3$72	0.06682915643482976	0.019017458339666633	0.08324680591015618	0.00965885307660109	0.09511629015605574	0.01702926254350528	0.17434072833821682
