model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.002792069024913813	0.0006363045057350839	0.0020062156116933453	0.0005644992682416894	0.006928141665754043	0.0010028761747288852	0.011289985364833787
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0019642344819426694	0.00039579569371332187	0.001465401025698752	0.00044950867656282664	0.005169349780472507	0.0007997655291285811	0.008781099728204057
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.001963905503279014	0.0003952149331492872	0.0014647896987892417	0.00044950867656282664	0.005169349780472507	0.0007997655291285811	0.008781099728204057
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.002357850911483708	0.0005190707848222789	0.0021911398795813994	0.000418147606104955	0.004885357864659558	0.0007410139333891027	0.008362952122099102
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.0151741685631111	0.0034013526413192025	0.01228527704970654	0.0030211164541083003	0.0366390061960157	0.00538735467255914	0.05916788626385114
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.003949516284720178	0.00093902495871641	0.003231826267050348	0.0008153878319046624	0.00969488499281516	0.0014490226782206967	0.016307756638093248
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0019642344819426694	0.00039579569371332187	0.001465401025698752	0.00044950867656282664	0.005169349780472507	0.0007997655291285811	0.008781099728204057
EASER_neighborhood=3831_l2_norm=3$72	0.021505444607978413	0.005082320703834252	0.018903711955770362	0.004056031779218064	0.04529254786323325	0.007169229742313767	0.0790298975538365
