model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.003502993744498129	0.0006865849822205269	0.002319481767314296	0.0006945884304374872	0.008693298315939825	0.0012569687711476139	0.0136844287787684
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0029558920124249373	0.0004653419916616326	0.0016475288712485478	0.0006531204644412192	0.008548160434952887	0.0011778908507477667	0.013062409288824383
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.002852096519099304	0.0004632685933618193	0.0016060609052522797	0.0006116524984449513	0.0081784044048195	0.0011062491442765747	0.012233049968899026
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0025261835051620697	0.0005346507551491218	0.0022944781983562875	0.00039394567696454495	0.005045269196212592	0.000714309114276661	0.007878913539290898
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.015554705032007364	0.003507429773717665	0.011882942707996356	0.003224134356209828	0.03816056141890685	0.005730609424537054	0.062201948994401825
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.005003162616168378	0.0010943837653661069	0.004612001580170101	0.0008189923284262908	0.00933942517500469	0.0014385062452612815	0.016172506738544475
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0029558920124249373	0.0004653419916616326	0.0016475288712485478	0.0006531204644412192	0.008548160434952887	0.0011778908507477667	0.013062409288824383
EASER_neighborhood=3797_l2_norm=3$72	0.020792098685154307	0.004702170615432758	0.01763783972356768	0.00386688782915198	0.04597602618543941	0.006882559717445058	0.07671573709309558
