model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.004799210247657298	0.0006194602161740061	0.0023332507884849933	0.0005114345114345114	0.015528239028239028	0.0009677561952462685	0.025155925155925157
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.005145642648673672	0.0005958535943885059	0.002194760571480599	0.0006278586278586278	0.01882931482931483	0.0011905666828669556	0.031185031185031187
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.005143849078371714	0.0005946117731466848	0.0021919858185040237	0.0006278586278586278	0.01882931482931483	0.0011905666828669556	0.031185031185031187
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0038928728539116553	0.00047795828020368876	0.002514156523905522	0.00041164241164241166	0.011354823854823856	0.0007763274952304278	0.020374220374220375
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.024380928662248766	0.0032374093482442166	0.014273638997371245	0.002565488565488566	0.07409831830884463	0.004868339354379341	0.12037422037422038
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.007753176865247389	0.0010396455033612282	0.005767725847452026	0.0007817047817047818	0.022226915726915725	0.0014787983131988836	0.038461538461538464
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.005145642648673672	0.0005958535943885059	0.002194760571480599	0.0006278586278586278	0.01882931482931483	0.0011905666828669556	0.031185031185031187
EASER_neighborhood=3808_l2_norm=3$72	0.028788738998659653	0.003945949621393511	0.0196739274998656	0.002960498960498961	0.07893843665908443	0.005585018910852719	0.1338877338877339
