model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.004088149559157443	0.0005373609696562413	0.0024596669514116774	0.0004448174569869912	0.012423315948284476	0.0008389152292962808	0.022031053294167015
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.004526187665304175	0.0005596169735919104	0.002086414011273663	0.0005161561057490559	0.015899250886661713	0.0009802426721234104	0.025388166177087706
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.0045233995122471796	0.0005577203337574265	0.0020802861753056556	0.0005161561057490559	0.015899250886661713	0.0009802426721234104	0.025388166177087706
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0037150848638191278	0.0004860943756542307	0.0026019710385746186	0.0003818715904322283	0.011002121508835734	0.0007229804939147826	0.019093579521611413
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.022528840500859976	0.002970636921603466	0.01323411057922209	0.0024800671422576586	0.06971793804622835	0.004693203785394739	0.11624003357112883
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.00648815086708783	0.000790883196393402	0.0049730995820630956	0.0005539236256819136	0.01622853704788241	0.0010496640330230223	0.026647083508182963
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.004526187665304175	0.0005596169735919104	0.002086414011273663	0.0005161561057490559	0.015899250886661713	0.0009802426721234104	0.025388166177087706
EASER_neighborhood=3802_l2_norm=3$72	0.029095018627999392	0.003975180132608721	0.02082500818409901	0.0028451531682752835	0.07826921237013557	0.005387825642646582	0.13281577843054973
