model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.0019090210816052231	0.0005636485955411678	0.0017644825450112904	0.000629458665547629	0.0037787502747637027	0.001025582622556284	0.00629458665547629
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0014965505409375993	0.0003868173370901025	0.0012635799878770923	0.000629458665547629	0.0031284837464023363	0.0009884958327324208	0.00629458665547629
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.001467535557998471	0.00038238781314736	0.001240266703967921	0.0006084767100293749	0.003058543894674822	0.0009562159011658757	0.006084767100293748
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0018580811170140021	0.0006361112776345675	0.0020114368309920136	0.0005455308434746119	0.0035354595048258494	0.0008988895424061181	0.005455308434746118
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.010212738099033575	0.0033353898980210354	0.009776841915952282	0.0034830046160302143	0.019488776733349034	0.00554182901775382	0.03441040704993705
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.004009861850441479	0.0013679901950988814	0.004255340407249765	0.0009232060428031894	0.005963538023966057	0.0015103696503745094	0.009232060428031893
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0014965505409375993	0.0003868173370901025	0.0012635799878770923	0.000629458665547629	0.0031284837464023363	0.0009884958327324208	0.00629458665547629
EASER_neighborhood=3802_l2_norm=3$72	0.016493905455073593	0.005809445543499257	0.017167985532442098	0.004846831724716744	0.02781266560641298	0.007786260776985194	0.04762903902643727
