model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.0028037710869671887	0.0008977757068034846	0.0025908890492223825	0.000946969696969697	0.005652626149259146	0.0015410725164513043	0.00946969696969697
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0021963534857565963	0.0006409414916359361	0.0018601190476190475	0.0007786195286195286	0.004598063973063973	0.0012803256647953617	0.007786195286195286
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.0021963534857565963	0.0006409414916359361	0.0018601190476190475	0.0007786195286195286	0.004598063973063973	0.0012803256647953617	0.007786195286195286
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0020054519874219937	0.000571179720485276	0.0017439607717385497	0.0005471380471380471	0.003744288119288119	0.0009158976627782332	0.005471380471380472
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.010672898549622821	0.004014792434931324	0.012230940355940356	0.00340909090909091	0.017803698359253915	0.005342922207084339	0.03345959595959596
ConvNeuMF_seed=42_e=10_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.002491628790103653	0.0007914128053016942	0.0021523101384212494	0.0007575757575757577	0.004985200098557941	0.00122132237897736	0.007575757575757576
ConvMF_seed=42_e=10_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0021963534857565963	0.0006409414916359361	0.0018601190476190475	0.0007786195286195286	0.004598063973063973	0.0012803256647953617	0.007786195286195286
EASER_neighborhood=3781_l2_norm=3$72	0.016975785815150066	0.005990468507829618	0.017634847148736036	0.0047558922558922564	0.029203542611055237	0.007771777896985079	0.04692760942760943
