model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=15_bs=512_lr=0$07_mffactors=256_isedgeweighttrain=True	0.006327765198063769	0.001493462034427947	0.005386833194054304	0.0013614922813036021	0.014385346048081898	0.0024260386930410258	0.027015437392795882
NeuMF_seed=42_e=10_bs=256_lr=0$08_mffactors=256_drop=0$3_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.001917627713459463	0.0003923537387136444	0.0012632633231871055	0.0005145797598627789	0.005050832291398329	0.0009103279999725001	0.010077186963979417
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$09_dropout_pkeep=0$5	0.005048367720483699	0.001401150959433075	0.0060509160405308494	0.000986277873070326	0.008521806426248063	0.0017039453749406021	0.01951114922813036
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$08_dropout_pkeep=0$0	0.006531814571129133	0.0017217776402049323	0.00625665291604154	0.001490137221269297	0.014125178629895612	0.0026132526285547087	0.028730703259005147
ConvNeuMF_seed=42_e=10_bs=16_lr=0$06_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$07_l_b=0$06	0.0029426417340913634	0.0006374282807805967	0.0022132772658338355	0.0006217838765008577	0.0076370170709793355	0.0011279052827639598	0.012435677530017153
ConvMF_seed=42_e=10_bs=32_lr=0$07_embedding_size=100_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$05_l_b=0$03	0.001917627713459463	0.0003923537387136444	0.0012632633231871055	0.0005145797598627789	0.005050832291398329	0.0009103279999725001	0.010077186963979417
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0025519528605397654	0.0006915431149875931	0.0025300490496657437	0.0005253001715265867	0.00514260164506734	0.0009182637021905459	0.010506003430531732
EASER_neighborhood=3638_l2_norm=3$72	0.06511626768124434	0.01810516910681733	0.07953025545855848	0.009155231560891939	0.09140727778614613	0.016150641390824	0.1687392795883362
