model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=15_bs=512_lr=0$07_mffactors=256_isedgeweighttrain=True	0.0045357427825848465	0.0016209858014103297	0.004612754907566228	0.0015008576329331048	0.008302703585722453	0.0024552429585347557	0.015008576329331046
NeuMF_seed=42_e=10_bs=256_lr=0$08_mffactors=256_drop=0$3_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0010485925279291924	0.00033278369952898255	0.0008811157396063056	0.00040737564322469987	0.002203640175338289	0.0006630808630447521	0.004073756432246998
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$09_dropout_pkeep=0$5	0.003970233760838514	0.0018087121212121211	0.005548578779710855	0.0011578044596912522	0.005020014121925741	0.0017909197970580482	0.011578044596912522
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$08_dropout_pkeep=0$0	0.0049376453130377486	0.0018192708758746495	0.005551897002368701	0.001886792452830189	0.008844610141779952	0.00294421376244323	0.018224699828473412
ConvNeuMF_seed=42_e=10_bs=16_lr=0$06_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$07_l_b=0$06	0.002055953182757752	0.0005936555582781998	0.0018345517166271882	0.0007075471698113208	0.004671036510659152	0.0011922103222173853	0.007075471698113208
ConvMF_seed=42_e=10_bs=32_lr=0$07_embedding_size=100_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$05_l_b=0$03	0.0010485925279291924	0.00033278369952898255	0.0008811157396063056	0.00040737564322469987	0.002203640175338289	0.0006630808630447521	0.004073756432246998
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.002072556966020351	0.000789098872825288	0.0022765559911786326	0.000686106346483705	0.0036635382556265915	0.001101192975120934	0.00686106346483705
EASER_neighborhood=3638_l2_norm=3$72	0.05961070960162524	0.02534359770208827	0.07724218260774865	0.014236706689536879	0.07372036652066416	0.022862440778286256	0.13443396226415094
