model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=15_bs=512_lr=0$07_mffactors=256_isedgeweighttrain=True	0.005858906424310694	0.0015162084963744385	0.005871195950902388	0.0011247991430101767	0.011590252295231218	0.002003454863333453	0.022495982860203535
NeuMF_seed=42_e=10_bs=256_lr=0$08_mffactors=256_drop=0$3_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.003293676694695068	0.0008970300980716731	0.0029226290655032646	0.000856989823245849	0.007908412568647114	0.001480579824278556	0.016871987145152652
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$09_dropout_pkeep=0$5	0.005944162865517091	0.0014922432612253867	0.0047968664440844605	0.0014193893947509375	0.014235684454106584	0.0025041654897184945	0.02785216925549009
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$08_dropout_pkeep=0$0	0.00873673234278537	0.002353273062874483	0.010651383969854438	0.0014059989287627211	0.014074655036090494	0.0024778966051875397	0.027584359935725764
ConvNeuMF_seed=42_e=10_bs=16_lr=0$06_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$07_l_b=0$06	0.003205572664930523	0.0008595463107905048	0.0038695952099746366	0.0006159614354579539	0.005660149632754638	0.0010645295811312285	0.012319228709159078
ConvMF_seed=42_e=10_bs=32_lr=0$07_embedding_size=100_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$05_l_b=0$03	0.003293676694695068	0.0008970300980716731	0.0029226290655032646	0.000856989823245849	0.007908412568647114	0.001480579824278556	0.016871987145152652
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.003166999304499652	0.0008829173299100509	0.0036605976012148225	0.000615961435457954	0.005999044697491404	0.0010673906572930816	0.012051419389394752
EASER_neighborhood=3038_l2_norm=3$72	0.05678606457513079	0.015785825459630805	0.0673892848099494	0.00867702196036422	0.08684214892621535	0.015352906916818699	0.15854311730048207
